Key;Type;Desc;English;Spanish;Italian;;;
Quote32;Text;Description (optional);The law of balance is a law of applied consciousness. You can never change it. You will get one thing, you lose the other, you get third thing, you lose the fourth. Always there will be a gap. The ‘law of gap’ is that there is no gap and how can that gap be filled? Be in gratitude. Make an attitude to be in gratitude, you will find the whole Universe will come to you. |Yogi Bhajan|33480;La ley del balance es una ley de consciencia aplicada. Eso nunca lo podrás cambiar. Recibirás una cosa, perderás otra, recibes una tercera y pierdes una cuarta. Siempre habrá un vacío. La “ley del vacío” es que no hay vacío y ¿Como hacer que ese vacío se llene? Mantente en estado de gratitud. Que se vuelva tu actitud estar en estado de gratitud, y veras como todo el Universo viene hacia ti.|Yogi Bhajan|33480;"La legge dell'equilibrio è una legge della coscienza applicata. Non potete mai cambiarla. Otterrete una cosa, perderete l'altra, otterrete la terza cosa e perderete la quarta. Ci sarà sempre un vuoto. La ""legge del vuoto"" dice che non c'è nessun vuoto e come può essere riempito questo vuoto? Siate nella gratitudine. Rendete la gratitudine il vostro atteggiamento costante e scoprirete che l'intero Universo verrà a voi. |Yogi Bhajan|33480";;;
Quote33;Text;Description (optional);"It is not that it is religious or it is not religious, it is called attitude of gratitude; it is called thanking God for giving you elbows and knees, giving you ribs and the glandular system, giving you head and skull and brain. |Yogi Bhajan|31173";"La cuestión no es ser o no religioso, se trata mas bien de una actitud de gratitud; se trata de agradecer a Dios por darte hombros y rodillas, costillas y sistema glandular, por darte una cabeza, un cráneo y un cerebro.|Yogi Bhajan|31173";"Non è una questione di essere religioso o non religioso, si chiama attitudine di gratitudine; si chiama ringraziare Dio per avervi dato gomiti e ginocchia, avervi dato costole e il sistema ghiandolare, per avervi dato testa, cranio e cervello.|Yogi Bhajan|31173";;;
Quote34;Text;Description (optional);"The mind is a virtue; it is faster than time and space. It’s given to us to realize beyond the beyond, the essence of life, the creativity of life, life itself. The beauty, the bounty, the bliss of the mind is found in the awareness of the soul. |Yogi Bhajan|32787";La mente es una virtud. Es mas rápida que el tiempo y el espacio. Nos fue dada para percibir mas allá del mas allá, la esencia de la vida, la creatividad de la vida, la vida misma. La belleza, la generosidad, la bendición de la mente se encuentran en la consciencia del alma.|Yogi Bhajan|32787;"La mente è una virtù; è più veloce di tempo e spazio. È dato a noi realizzare oltre l'aldilà, l'essenza della vita, della creatività della vita, la vita stessa. La bellezza, l'abbondanza, la beatitudine della mente si trova nella consapevolezza dell'anima.|Yogi Bhajan|32787";;;
Quote35;Text;Description (optional);We are all pioneers in the Age of Aquarius. No man can give a man anything other than love. No man can give a man anything other than hope. No man can give a man anything but service. The only thing you can do is act like a forklift—go into the dirt and lift the other person and put him on track, so he can proceed. |Yogi Bhajan|34140;Somos todos pioneros de la Era de Acuario. Ningún hombre puede dar al otro nada que no sea amor. Ningún hombre puede dar al otro nada que no sea esperanza. Ningún hombre puede dar al otro otra cosa que el servicio. Lo único que puedes hacer es actuar como elevador – Entra en el lodo para elevar a la otra persona y colócala de vuelta en el camino para que el pueda proceder.|Yogi Bhajan|34140;"Noi siamo tutti pionieri dell’Era dell’Acquario. Nessun può dare all'altro nient'altro che amore. Nessun può dare all'altro nient'altro che speranza. Nessun può dare all'altro nient'altro che servizio. L'unica cosa che potete fare è agire come un carrello elevatore; addentratevi nello sporco e sollevate l'altra persona e rimettetela in pista, in modo che possa procedere.|Yogi Bhajan|34140";;;
Quote36;Text;Description (optional);"The purpose of life is to reach a state of consciousness where there is no peer group, period. Only then can you become a giver. Before that you can’t give anybody anything; you are in a business of give and take. But when you give and give and give, and for the sake of giving you live, then you become Ik - One. Then you have to have no peer group.  One is very lonely. It has its own beginning; it has its own end and its own process. |Yogi Bhajan|31865";"El proposito de la vida es alcanzar un estado de consciencia en donde no haya grupos afines, punto. Solo entonces te puedes convertir en un dador. Antes de eso no puedes dar nada a nadie ; estas en el negocio de dar y recibir. Pero cuando das y das y das, y vives por el bien de dar, entonces te vuelves Ik – Uno. Entonces no debes de tener ningun grupo afin. Uno es muy solitario. Tiene su propio principio ; tiene su propio fin y su propio proceso.|Yogi Bhajan|31865";"Lo scopo della vita è quello di raggiungere uno stato di coscienza dove non c'è nessun gruppo dei pari, punto. Solo allora potrete diventare un donatore. Prima di questo non potete dare niente a nessuno; siete in una condizione di dare e avere. Ma quando voi date e date e date, e vivete per l'amore di donare, allora diventate Ik (Ek) - Uno. Allora non dovete avere nessun gruppo di pari.  Uno è molto solo. Ha un proprio inizio; ha la propria fine e un proprio processo.|Yogi Bhajan|31865";;;
Quote37;Text;Description (optional);You must reach a state that you must glow. When you are young, and through middle age, you must grow to the point that in the end you glow, and your light lets people feel the blessings, the virtues, the happiness. |Yogi Bhajan|37661;Debes de alcanzar un estado en el que brilles. Cuando eres joven, y a través de la edad adulta, debes crecer hasta alcanzar el punto en que al final brilles, y que tu luz permita al resto de las personas sentir las bendiciones, las virtudes, la felicidad.|Yogi Bhajan|37661;Voi dovete raggiungere uno stato in cui dovete risplendere. Quando siete giovani e attraverso la mezza età, voi dovete crescere fino al punto in cui dovete risplendere, e la vostra luce consente alla gente di sentire le benedizioni, le virtù, la felicità.|Yogi Bhajan|37661;;;
Quote38;Text;Description (optional);Mankind is still seeking to find the peace within so it can have peace without. There shall not be peace in the world if there is no peace in the heart of the man. There is not going to be peace in your heart if you do not understand and experience your very relationship with your soul.|Yogi Bhajan|32647;La humanidad sigue en búsqueda de la paz interna para poder tener paz externa. No habrá paz en el mundo mientras no exista paz en el corazón del hombre. No habrá paz en tu corazón si no comprendes y experimentas tu propia relación con tu alma.|Yogi Bhajan|32647;L'umanità sta ancora cercando di trovare la pace interiore in modo da poter avere pace fuori. Non ci sarà pace nel mondo se non c'è pace nel cuore dell'uomo. Non ci sarà pace nel vostro cuore se non capirete e sperimenterete la vostra vera relazione con la vostra anima.|Yogi Bhajan|32647;;;
Quote39;Text;Description (optional);Bring in tranquility and tranquilize yourself through self-hypnosis in your tranquility, in your steadfastness, and in your love for entire mankind. We need the deepest prayer, concentration and strength of the inner mind for universal peace so that mankind can live. |Yogi Bhajan|32669;Trae hacia ti la tranquilidad y tranquilízate a través de la auto-hipnosis en tu tranquilidad, en tu firmeza, y en tu amor hacia la humanidad entera. Necesitamos la oración mas profunda, la concentración y la fuerza de la mente interna por la paz universal, para que el genero humano pueda vivir.|Yogi Bhajan|32669;Portate dentro la tranquillità e tranquillizzate voi stessi attraverso l'autoipnosi nella vostra tranquillità, nella vostra fermezza e nel vostro amore per l'intera umanità. Abbiamo bisogno della preghiera, della concentrazione e della forza più profonde della mente interiore per la pace universale, così che l'umanità possa vivere.|Yogi Bhajan|32669;;;
Quote40;Text;Description (optional);The time has come. You have to be you—a beautiful, bountiful, blissful human. Nobody can create you. God created you in His own image. Don’t create your own images. Just have one image of you as you being the being of God. It’s very human and that is what the Age of Aquarius is all about—the “New Age.” It will be the Age of humans and peace, love, and service. We shall all live as one family and wars will cease. Humans and humanity will prevail again. |Yogi Bhajan|34952;El momento ha llegado. Tienes que ser Tu – un ser humano hermoso, generoso y dichoso. Nadie puede crearte. Dios te creo a Su propia imagen. No te crees tu tus propias imágenes. Mantén solamente una imagen de ti siendo un ser de Dios. Es muy humano, y de eso es de lo que se trata la Era de Acuario - “La Nueva Era”. Será la Era de los humanos y la paz, el amor y el servicio. Seremos todos como una gran familia y cesaran las guerras. La humanidad y los seres humanos prevalecerán de nuevo.|Yogi Bhajan|34952;Il momento è giunto. Voi dovete essere voi - essere umani belli, ricchi e beati. Nessuno può crearvi. Dio vi ha creati a sua immagine. Non create le vostre proprie immagini. Abbiate una sola immagine di voi come esseri di Dio. È molto umano e questo è ciò che riguarda l'Era dell'Acquario, la “New Age”. Sarà l'Era degli esseri umani e della pace, dell'amore e del servizio. Vivremo tutti come un'unica famiglia e le guerre cesseranno. Gli esseri umani e l'umanità prevarranno nuovamente.|Yogi Bhajan|34952;;;
Quote41;Text;Description (optional);Because if you believe in Infinity and you believe in the reality of that Infinity, and you, as a little finite part, become part of that Infinity, you will find ecstasy. You will find deathlessness in it. And in that bliss, you can sit on that throne of the Infinite. |Yogi Bhajan|32787;Porque si crees en la Infinidad y crees en cuan real es esa Infinidad, y tu, como una pequeña parte de esa Infinidad, te vuelves parte de ella, encontraras el éxtasis. Encontraras en ella la inmortalidad. Y en esa dicha, podrás sentarte en el trono del Infinito. |Yogi Bhajan|32787;Perché se credete nell'Infinito e credete nella realtà di tale Infinito, e voi, come piccola parte finita, diventate parte di quell'Infinito, troverete l'estasi. Troverete l'immortalità in esso. E in quella beatitudine, potete sedere sul trono dell'Infinito. |Yogi Bhajan|32787;;;
Quote42;Text;Description (optional);The Age of Aquarius is coming our way. Emptiness, insanity, and pain shall be everybody’s affair. People will hit walls to find out where they can go. They shall come to you. As insane as they are, if you do not take away their pain, and instead you sit in judgment, you are wrong people. That’s why we wanted to teach you how to remain disciplined in the most undisciplined world. How to grow, to glow. How to serve, to be. |Yogi Bhajan|35266;La Era de Acuario se acerca. La Vacuidad, la locura y el dolor serán asunto de todos. La gente golpeara los muros para averiguar a donde pueden dirigirse. Y vendrán hacia ti. Aunque estén locos, si no les quitas su dolor, y en lugar de eso los juzgas, estarás cometiendo un error. Es por eso que queremos enseñante a mantener tu disciplina en medio del mundo mas indisciplinado. Como crecer, como brillar. Como servir, como ser.|Yogi Bhajan|35266;L'Era dell'Acquario sta venendo verso di noi. Vuoto, pazzia e dolore saranno problemi di tutti. Le persone colpiranno i muri per scoprire dove possono andare. Loro verranno da voi. Pazzi come sono, se non togliete loro di dosso il dolore, e invece vi sedete a giudicare, siete persone sbagliate. Ecco perché abbiamo voluto insegnarvi a rimanere disciplinati nel mondo più indisciplinato. Come crescere, per brillare. Come servire, per essere. |Yogi Bhajan|35266;;;
